Nome,Data,Hora,Endereço,Link
"FURACÃO DO ALTO",27/01/2024,08:00,"RUA FERNAO DIAS, 3313, Alto Vera Cruz","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/furacao-do-alto"
"TCHANZINHO ZONA NORTE",27/01/2024,09:00,"RUA LIBERO BADARO, 519, Santa Rosa","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/tchanzinho-zona-norte"
"BASTIDORES DA GRAXINHA",27/01/2024,10:00,"RUA DA BAHIA, 15, Centro","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bastidores-da-graxinha"
"CARNATRANCE CARIBBEAN",27/01/2024,10:00,"RUA PROFESSOR AMARO XISTO DE QUEIROZ, 80, União","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/carnatrance-caribbean"
"TREMA NA LINGUIÇA",27/01/2024,11:00,"RUA BENVINDA DE CARVALHO, 277, Santo Antônio","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/trema-na-linguica"
"PASSISTAS SHOW BH",27/01/2024,12:00,"RUA MINISTRO OLIVEIRA SALAZAR, 470, Santa Mônica","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/passistas-show-bh"
"BLOCO CEFET COM BANANA",27/01/2024,12:00,"AVENIDA BRASIL, 1145, Funcionários","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-cefet-com-banana"
"TREM NA CABEÇA",27/01/2024,12:00,"AVENIDA BERNARDO MONTEIRO, 1556, Funcionários","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/trem-na-cabeca-15949"
"ANOS 80",27/01/2024,13:00,"RUA ARACATI, 122, Nova Suissa","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/anos-80"
"CORRE PRA SAMBAR",27/01/2024,13:00,"AVENIDA CELSO PORFIRIO MACHADO, 141, Belvedere","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/corre-pra-sambar"
"BLOCO DO KANELLA",27/01/2024,13:00,"AVENIDA CRISTOVAO COLOMBO, 152, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-do-kanella"
"KONTRA",27/01/2024,13:00,"RUA IBIRACI, 198, Salgado Filho","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/kontra"
"BLOCO TAPA DE MINA",27/01/2024,13:00,"RUA MARIA CARMEM VALADARES, 194, Santa Efigênia","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-tapa-de-mina"
"BLOCO SÓ NÃO VAI QUEM JÁ MORREU",27/01/2024,13:00,"RUA PERNAMBUCO, 473, Savassi","https://portalbelohorizonte.com.br/carnaval/2024/programacao/bloco-de-rua/desfile/bloco-so-nao-vai-quem-ja-morreu"
